"","무인교통단속카메라관리번호","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소"
"8279","G5828","경상남도","진주시","시도","","모덕로",2,"경상남도 진주시 모덕로 99","경상남도 진주시 상대동 280-33"
"8280","G5782","경상남도","고성군","지방도","1007번","옥천로",1,"경상남도 고성군 개천면 옥천로 1353","경상남도 고성군 개천면 예성리 204-3"
"8281","G5783","경상남도","고성군","지방도","1007번","옥천로",3,"경상남도 고성군 마암면 옥천로 527","경상남도 고성군 마암면 석마리 532-2"
"8282","G5784","경상남도","고성군","일반국도","77번","조선특구로",3,"경상남도 고성군 동해면 조선특구로 1512","경상남도 고성군 동해면 용정리 492-2"
"8283","G5785","경상남도","고성군","지방도","1009번","거류로",3,"경상남도 고성군 거류면 거류로 579","경상남도 고성군 거류면 신용리 1227-1"
"8284","G5786","경상남도","의창구","시도","","우곡로",2,"경상남도 창원시 의창구 우곡로 177","경상남도 창원시 의창구 명서동 502-13"
"8285","G5787","경상남도","의창구","시도","","창원대로397",1,"경상남도 창원시 의창구 창원대로397번길 24","경상남도 창원시 의창구 팔용동 35-1"
"8286","G5788","경상남도","의창구","시도","","창원대로397",2,"경상남도 창원시 의창구 창원대로397번길 24","경상남도 창원시 의창구 팔용동 35-1"
"8287","G5789","경상남도","의창구","시도","","무역로",1,"경상남도 창원시 의창구 무역로581번길 2","경상남도 창원시 의창구 팔용동 517"
"8288","G5790","경상남도","의창구","시도","","사화로",2,"경상남도 창원시 의창구 창원대로397번길 34","경상남도 창원시 의창구 팔용동 523-2"
"8289","G5791","경상남도","의창구","시도","","창원대로",2,"경상남도 창원시 의창구 창원대로 368","경상남도 창원시 의창구 차용동 10-6"
"8290","G5792","경상남도","의창구","시도","","사화로",1,"경상남도 창원시 의창구 창원대로363번길 22-5","경상남도 창원시 의창구 팔용동 528-2"
"8291","G5793","경상남도","의창구","시도","","창이대로",1,"경상남도 창원시 의창구 창이대로 45","경상남도 창원시 의창구 명서동 503"
"8292","G5794","경상남도","거제시","시도","","능포로",2,"경상남도 거제시 능포로 208","경상남도 거제시 능포동 441"
"8293","G5795","경상남도","거제시","지방도","1018번","거제중앙로",1,"경상남도 거제시 거제중앙로 1548","경상남도 거제시 문동동 601"
"8294","G5796","경상남도","거제시","시도","","제산로",2,"경상남도 거제시 제산로 70","경상남도 거제시 양정동 832"
"8295","G5797","경상남도","진해구","시도","","용원로",2,"경상남도 창원시 진해구 용원로 75-1","경상남도 창원시 진해구 용원동 1307"
"8296","G5798","경상남도","진해구","시도","","용원로",1,"경상남도 창원시 진해구 용원로 75-1","경상남도 창원시 진해구 용원동 1228-9"
"8297","G5799","경상남도","함안군","일반국도","5번","경남대로",2,"경상남도 함안군 칠원읍 경남대로 1540-1","경상남도 함안군 칠원읍 예곡리 487-10"
"8298","G5800","경상남도","함안군","시도","","오곡로",1,"경상남도 함안군 칠원읍 오곡로 60","경상남도 함안군 칠원읍 예곡리 692-1"
"8299","G5801","경상남도","밀양시","일반국도","25번","밀양대로",2,"경상남도 밀양시 상남면 상남로 940-15","경상남도 밀양시 상남면 연금리 1184-10"
"8300","G5802","경상남도","밀양시","일반국도","58번","사포로",2,"","경상남도 밀양시 부북면 전사포리 293-4"
"8301","G5803","경상남도","진주시","시도","","가호로44번길",1,"경상남도 진주시 가호로44번길 7","경상남도 진주시 호탄동 579-11"
"8302","G5804","경상남도","진주시","시도","","천수로",2,"경상남도 진주시 천수로 175","경상남도 진주시 망경동 481-2"
"8303","G5192","경상남도","밀양시","시도","","미리벌로",1,"경상남도 밀양시 미리벌로 42","경상남도 밀양시 삼문동 585-5"
"8304","G5193","경상남도","밀양시","시도","","미리벌로",1,"경상남도 밀양시 미리벌로 51","경상남도 밀양시 삼문동 591-15"
"8305","주차35","대구광역시","남구","시도","","현충로",3,"대구광역시 남구 현충로 46","대구광역시 남구 대명동 498-6"
"8306","G5194","경상남도","밀양시","시도","","석정로",2,"경상남도 밀양시 석정로 139","경상남도 밀양시 내이동 602-3"
"8307","G5195","경상남도","통영시","시도","","산양중앙로",2,"경상남도 통영시 산양읍 둔전길 155","경상남도 통영시 산양읍 남평리 823-2"
"8308","G5196","경상남도","통영시","일반국도","14번","남해안대로",2,"경상남도 통영시 도산면 남해안대로 1541","경상남도 통영시 도산면 관덕리 856"
"8309","G5197","경상남도","통영시","일반국도","14번","남해안대로",1,"경상남도 통영시 도산면 남해안대로 1521-7","경상남도 통영시 도산면 관덕리 568-34"
"8310","G5425","경상남도","남해군","군도","","남해대로",2,"경상남도 남해군 고현면 남해대로 3173","경상남도 남해군 고현면 도마리 119-1"
"8311","G5426","경상남도","남해군","일반국도","3번","동부대로",1,"경상남도 남해군 삼동면 동부대로 1663-3","경상남도 남해군 삼동면 금송리 526-11"
"8312","G5427","경상남도","남해군","일반국도","3번","동부대로",2,"경상남도 남해군 삼동면 동부대로 1663-3","경상남도 남해군 삼동면 금송리 526-11"
"8313","G5428","경상남도","산청군","일반국도","59번","친환경로",2,"경상남도 산청군 산청읍 꽃봉산로79번길 43","경상남도 산청군 산청읍 산청리 310-1"
"8314","G5429","경상남도","마산회원구","시도","","석전동로",2,"경상남도 창원시 마산회원구 석전동로 8","경상남도 창원시 마산회원구 석전동 243-1"
"8315","G5430","경상남도","마산회원구","시도","","양덕천길",2,"경상남도 창원시 마산회원구 양덕동12길 86","경상남도 창원시 마산회원구 양덕동 36-1"
"8316","G5431","경상남도","마산회원구","시도","","양덕천길",1,"경상남도 창원시 마산회원구 양덕동12길 86","경상남도 창원시 마산회원구 양덕동 36-1"
"8317","G5432","경상남도","마산합포구","시도","","드림베이대로",2,"경상남도 창원시 마산합포구 드림베이대로 201","경상남도 창원시 마산합포구 가포동 71-7"
"8318","G5433","경상남도","마산합포구","시도","","드림베이대로",2,"경상남도 창원시 마산합포구 드림베이대로 201","경상남도 창원시 마산합포구 가포동 71-7"
"8319","G5774","경상남도","남해군","일반국도","19번","남해대로",2,"경상남도 남해군 이동면 남해대로 2428","경상남도 남해군 이동면 다정리 806-8"
"8320","G5775","경상남도","남해군","일반국도","19번","남해대로",1,"경상남도 남해군 이동면 남해대로 2428","경상남도 남해군 이동면 다정리 280-2"
"8321","G5776","경상남도","남해군","일반국도","19번","남해대로",1,"경상남도 남해군 이동면 남해대로 1985","경상남도 남해군 이동면 무림리 350"
"8322","G5777","경상남도","하동군","일반국도","19번","섬진강대로",1,"","경상남도 하동군 하동읍 목도리 305-23"
"8323","G5778","경상남도","하동군","일반국도","19번","섬진강대로",2,"","경상남도 하동군 하동읍 목도리 305-27"
"8324","G5779","경상남도","거제시","시도","","계룡로",2,"경상남도 거제시 계룡로 25","경상남도 거제시 상동동 487"
"8325","G5780","경상남도","고성군","일반국도","33번","상정대로",1,"경상남도 고성군 고성읍 남포로 45","경상남도 고성군 고성읍 수남리 518-5"
"8326","G5781","경상남도","고성군","일반국도","77번","공룡로",1,"경상남도 고성군 삼산면 공룡로 2143","경상남도 고성군 삼산면 미룡리 91-10"
"8327","gc-camera-026","경상북도","김천시","지방도","514번","아포대로",1,"경상북도 김천시 농소면 해오름로 11","경상북도 김천시 농소면 신촌리 153-1"
"8328","gc-camera-028","경상북도","김천시","시도","100번","부거리길",1,"경상북도 김천시 부거리길 310","경상북도 김천시 신음동 1197-8"
"8329","gc-camera-035","경상북도","김천시","시도","101번","대학로",1,"경상북도 김천시 대학로 128","경상북도 김천시 교동 945-17"
"8330","gc-camera-034","경상북도","김천시","시도","102번","자산로",1,"경상북도 김천시 자산로 165-1","경상북도 김천시 평화동 440"
"8331","gc-camera-036","경상북도","김천시","지방도","지방도514번","영남대로",1,"경상북도 김천시 영남대로 1858","경상북도 김천시 지좌동 113-1"
"8332","주정차-1","부산광역시","남구","구도","20번 22번 24번 27번 131번","용소로",3,"부산광역시 남구 용소로 22-1","부산광역시 남구 대연3동 61-11"
"8333","주정차-2","부산광역시","남구","구도","20번 22번 24번 27번 131번","용소로",3,"부산광역시 남구 용소로 11","부산광역시 남구 대연3동 56-7"
